EvID,Reaction,Particle,px,py,pz,p,E,TPC_dEdx,NsigmaElectron,NsigmaMuon,NsigmaPion,NsigmaKaon,NsigmaProton
5680,γγ → μ μ,muon,0.019388042988106848,-0.05241285690804418,-0.06659217277886001,0.08693400517393259,0.13631772172238404,64.08622198628272,-1.9185764161407222,1.56109390823401,-1.8748805771488044,-8.953703382142926,-9.69857185982969
5681,γγ → μ μ,muon,-0.12206873658621853,-0.1651312230875111,-0.0512345541196093,0.2116461122392002,0.2362606120917495,33.55902987412213,-6.002168578835064,1.4644956054697482,0.14314322812312882,-7.386838294559946,-9.1822876160469
5681,γγ → μ μ,muon,0.12206873658621853,0.1651312230875111,0.0512345541196093,0.2116461122392002,0.2362606120917495,30.95575731512854,-6.312292109617649,0.5751609934630973,-0.6436901972398666,-7.589548926705803,-9.24571996848018
5682,γγ → μ μ,muon,0.09430661156269222,0.6899781212077835,0.512784812630253,0.8648189456725048,0.8711697933205116,24.16510340972478,-7.35294959203512,-0.8597646579056849,-0.7555048750857347,-1.539867560609793,-4.94365700259855
5682,γγ → μ μ,muon,-0.09430661156269222,-0.6899781212077835,-0.512784812630253,0.8648189456725048,0.8711697933205116,21.333157534154083,-7.663161526913376,-1.930922986504963,-1.838881569025259,-2.5313235772586293,-5.536217665558481
5683,γγ → μ μ,muon,0.4205857598012964,-0.11936100676568795,0.27100059217724076,0.5143741364456105,0.5249816684839267,31.678536520897495,-6.423674356163289,2.1620562581240943,2.064573675729245,-2.1389567401397294,-6.570186459901956
5683,γγ → μ μ,muon,-0.4205857598012964,0.11936100676568795,-0.27100059217724076,0.5143741364456105,0.5249816684839267,25.376689136337898,-7.13511689360748,-0.2573554584041092,-0.33544571955015806,-3.7027630376427925,-7.252483177521333
5684,γγ → μ μ,muon,-0.301996722574956,-0.32718107918636724,0.02824396948169466,0.446147061892885,0.45833634029569786,26.4816540728969,-6.985089337165783,0.145800289338971,-0.031098776695277865,-4.285947000700894,-7.6904464770046195
5684,γγ → μ μ,muon,0.301996722574956,0.32718107918636724,-0.02824396948169466,0.446147061892885,0.45833634029569786,28.416192575116504,-6.764844002718395,0.8869715636682833,0.6971496623266965,-3.86852384803684,-7.521728911218416
5685,γγ → μ μ,muon,0.0978889116648309,-0.0032468179130909964,-0.03540001437150743,0.10414385181559575,0.14788827496116372,43.9341197154493,-4.524845494680282,-0.4090660301321302,-2.9432120683474845,-9.001972087733865,-9.71044928095084
5685,γγ → μ μ,muon,-0.0978889116648309,0.0032468179130909964,0.03540001437150743,0.10414385181559575,0.14788827496116372,43.376295559248454,-4.594362613989383,-0.5308405116415031,-3.032810922244132,-9.014643880901238,-9.714125657912003
5686,γγ → μ μ,muon,0.00797817356832169,0.24807023957517493,0.0022161459548445213,0.24820839292671817,0.2695040005626338,28.425885291314568,-6.646894942467899,0.16492585080997046,-0.7167858430039604,-7.155305890775168,-9.078179238566738
5686,γγ → μ μ,muon,-0.00797817356832169,-0.24807023957517493,-0.0022161459548445213,0.24820839292671817,0.2695040005626338,25.89835568381219,-6.945041234944774,-0.7389035561791104,-1.5422165514632649,-7.408246072291706,-9.16014429412984
5687,γγ → μ μ,muon,-0.19558181549826667,0.9803745795204968,-0.520444503595913,1.1270532569700447,1.1319337631004676,25.452103977241965,-7.253564101485833,-0.5160934490954101,-0.36647053682496833,-0.2491685054351659,-3.237711884356899
5687,γγ → μ μ,muon,0.19558181549826667,-0.9803745795204968,0.520444503595913,1.1270532569700447,1.1319337631004676,21.23668822057275,-7.708432947363192,-2.0868323218113374,-1.9619901813980083,-1.8641158889429525,-4.3576922168004355
5688,γγ → μ μ,muon,-0.11448904887925304,-0.4101326147920427,-0.10596901402584308,0.43880056513528265,0.451188359737974,21.832067984000492,-7.511985170685109,-1.6397536691881762,-1.796011588799224,-5.371459132273739,-8.144844988746321
5688,γγ → μ μ,muon,0.11448904887925304,0.4101326147920427,0.10596901402584308,0.43880056513528265,0.451188359737974,19.506324792015292,-7.7770303123124584,-2.5303603676216055,-2.669972324376753,-5.864531864542095,-8.34247235692154
5689,γγ → μ μ,muon,0.04556302756019761,0.040483179366556744,0.059266755478955685,0.08501426702076809,0.1351015381003431,54.15650814665062,-3.1606942840163974,-0.4786583865071823,-3.3438780723875436,-9.151402653706162,-9.755692131036156
5689,γγ → μ μ,muon,-0.04556302756019761,-0.040483179366556744,-0.059266755478955685,0.08501426702076809,0.1351015381003431,44.92543511276366,-4.326466094753605,-2.10158798116893,-4.478425880932823,-9.296047579091468,-9.797334841364739
5690,γγ → μ μ,muon,-0.08383344921314331,-0.22112471276438214,-0.24729218694681945,0.3421660584088432,0.35791425164003166,25.170106754881548,-7.088494521977872,-0.5122671686206134,-0.9111209483965241,-6.026655491109003,-8.574799200043786
5690,γγ → μ μ,muon,0.08383344921314331,0.22112471276438214,0.24729218694681945,0.3421660584088432,0.35791425164003166,29.16991191928479,-6.625824468148137,0.9954373138035432,0.5332013074949603,-5.395247605501478,-8.348319210288839
5691,γγ → μ μ,muon,-0.054152037033565276,0.17523166076959876,0.1677759286181236,0.24857059414707539,0.2698376183459787,28.32059737694182,-6.659614560322871,0.1308130264470008,-0.7454840624291161,-7.159515159419536,-9.0792091767087
5691,γγ → μ μ,muon,0.054152037033565276,-0.17523166076959876,-0.1677759286181236,0.24857059414707539,0.2698376183459787,29.222188077366035,-6.553272861093836,0.4533290627724827,-0.4508650826389874,-7.069087874893101,-9.049895655095229
5692,γγ → μ μ,muon,-0.03557429292560912,-0.18692525708324711,0.06959051773865045,0.20260657001175578,0.2281982081698463,33.64856461649953,-5.980594010722603,1.3199538055684843,-0.08048355451585949,-7.559425846546632,-9.242426165706412
5692,γγ → μ μ,muon,0.03557429292560912,0.18692525708324711,-0.06959051773865045,0.20260657001175578,0.2281982081698463,29.94427078758753,-6.423081260079782,0.07376587739235375,-1.1725005238453683,-7.828103095596548,-9.325825743409139
5693,γγ → μ μ,muon,0.10909642903207876,-0.0804817281989639,-0.0035970031735240372,0.13561813239118745,0.1715146577796593,38.02950819235725,-5.340685666601766,0.3516865591462815,-1.8126639717345479,-8.611926133676066,-9.59039345862265
5693,γγ → μ μ,muon,-0.10909642903207876,0.0804817281989639,0.0035970031735240372,0.13561813239118745,0.1715146577796593,41.956100198785,-4.8596059133633975,1.4205105231742505,-0.9673117773302595,-8.468605854058719,-9.548101095465665
5694,γγ → μ μ,muon,0.34373332593530936,-0.23487306368976757,-0.25649258202318387,0.488985071386118,0.5001313827770528,24.702028378792072,-7.202938421819827,-0.5193515165642554,-0.6246317954723113,-4.1540911573591845,-7.519995028801297
5694,γγ → μ μ,muon,-0.34373332593530936,0.23487306368976757,0.25649258202318387,0.488985071386118,0.5001313827770528,23.736420609113203,-7.312276179462429,-0.8899521691430294,-0.9911170185912578,-4.382609030981852,-7.616938973335327
5695,γγ → μ μ,muon,-0.040860054297345696,0.34496081863884853,-0.0048379063399118976,0.3474059811962373,0.36292687386155403,23.467918666500974,-7.287880751906833,-1.140812535522424,-1.498261248049382,-6.221994831265708,-8.636765078588912
5695,γγ → μ μ,muon,0.040860054297345696,-0.34496081863884853,0.0048379063399118976,0.3474059811962373,0.36292687386155403,26.815799488977408,-6.900975881986637,0.12301934648359458,-0.28542220041840793,-5.683033058329402,-8.44228903174471
5696,γγ → μ μ,muon,-0.22401709949654877,0.22777216406877207,-0.06372113773172249,0.3257670992983229,0.34227065749965097,28.647747188881553,-6.676368816554137,0.7413492984374793,0.22836620355208176,-5.760983662383704,-8.50740866346281
5696,γγ → μ μ,muon,0.22401709949654877,-0.22777216406877207,0.06372113773172249,0.3257670992983229,0.34227065749965097,23.304043891845012,-7.296330267484775,-1.2622492142915906,-1.6795448738827046,-6.551693152737745,-8.785823758150517
5697,γγ → μ μ,muon,-0.5778031749309755,-0.22459133501611178,-0.5194542973535126,0.808783372581105,0.8155706859394019,24.048063404656528,-7.355640737339779,-0.8745000830750395,-0.7845111200922341,-1.836339446426542,-5.315001775062749
5697,γγ → μ μ,muon,0.5778031749309755,0.22459133501611178,0.5194542973535126,0.808783372581105,0.8155706859394019,26.66403836629769,-7.067984409081615,0.11818190105977174,0.2179599630658892,-0.9482874131243282,-4.805362481222732
5698,γγ → μ μ,muon,-0.007891056115168998,0.003778854718597352,0.042943084034113954,0.0438253006373942,0.11377898301513326,145.3253029343208,9.189119561229145,-0.06016379230201322,-3.785409713674792,-9.335788876573007,-9.810325736237717
5698,γγ → μ μ,muon,0.007891056115168998,-0.003778854718597352,-0.042943084034113954,0.0438253006373942,0.11377898301513326,149.99107453920365,9.805199812663052,0.2589616772387149,-3.5858858984241095,-9.314463908816128,-9.804236109887933
5699,γγ → μ μ,muon,-0.1365850562819866,-0.07752349260685558,-0.04937961543054429,0.16463206226487928,0.1952657571761805,29.99065779570074,-6.370578653047226,-0.801384151409169,-2.3355416908894124,-8.464727334824039,-9.537917204567576
5699,γγ → μ μ,muon,0.1365850562819866,0.07752349260685558,0.04937961543054429,0.16463206226487928,0.1952657571761805,27.093341112254304,-6.721207275180694,-1.6900376562535195,-3.075984367400133,-8.613045892448048,-9.58255777902446
5700,γγ → μ μ,muon,-0.30418611167639836,-0.8787479066433335,-0.42236580165078164,1.0213324357773792,1.0267156102694428,30.849383161177503,-6.652592418479498,1.5631495727857259,1.7300245428069254,1.491284025714622,-2.4388668252602512
5700,γγ → μ μ,muon,0.30418611167639836,0.8787479066433335,0.42236580165078164,1.0213324357773792,1.0267156102694428,31.19968947273364,-6.614581350412724,1.6944534713321322,1.8632233692011189,1.6217718640308803,-2.353007323312054
5701,γγ → μ μ,muon,-0.06583750864809387,0.00028241770395573027,0.005639394053300896,0.06607919544028777,0.12406232332999309,60.86653332999869,-2.183652314650036,-2.239849171012903,-4.8559831371831805,-9.401603357884824,-9.82864600347059
5701,γγ → μ μ,muon,0.06583750864809387,-0.00028241770395573027,-0.005639394053300896,0.06607919544028777,0.12406232332999309,65.18436850604337,-1.629165322578063,-1.689348750048424,-4.491069682427732,-9.359153460885704,-9.816490254271615
5702,γγ → μ μ,muon,0.015486154753150084,0.06132933622377666,0.11246279944867225,0.12903096423153565,0.16635501113738602,43.39919341301915,-4.6658218704691725,1.3917283239616716,-1.1130674167902361,-8.549957564799792,-9.573798417546948
5702,γγ → μ μ,muon,-0.015486154753150084,-0.06132933622377666,-0.11246279944867225,0.12903096423153565,0.16635501113738602,39.43000029998275,-5.153673865642237,0.349866343285179,-1.9258463841226856,-8.682575201091636,-9.612777860545775
5703,γγ → μ μ,muon,0.06505918110840635,0.2840162968780314,-0.6515049452072044,0.7136922639122893,0.7213748315322962,28.888982768561807,-6.800353557379277,1.0200538404919404,1.0900758381862723,-0.8336480169645353,-5.130631466333732
5703,γγ → μ μ,muon,-0.06505918110840635,-0.2840162968780314,0.6515049452072044,0.7136922639122893,0.7213748315322962,26.2425428498772,-7.093464330412226,0.010537146076903666,0.074144621966543,-1.6733522042306108,-5.576700868275595
5704,γγ → μ μ,muon,-0.42413462083867703,-0.2915469119920584,0.11064588101079773,0.5264335565584027,0.5368028404085889,27.704996619588453,-6.876530021584487,0.6365668266366795,0.5654044875351346,-2.9800977449473427,-6.89667436850232
